i_iso3,j_iso3,q025,q500,q975
PHL,BNL,3.553854373282954,3.896596498245496,4.349146947384138
POL,BNL,2.2790989307184346,2.463078053127316,2.64890157304282
PRT,BNL,2.1134549062054413,2.261966828071164,2.439368847560711
ROU,BNL,2.691784162016904,2.8625962262853024,3.072903882144343
RoW,BNL,1.6134199415746449,1.706971215670726,1.8789341283159822
RUS,BNL,1.969511004666116,2.125668713074376,2.299218091065284
SVK,BNL,2.0773701615870412,2.24094543163731,2.4227056871290733
SVN,BNL,2.3539085238821453,2.5630543591634796,2.758237635821892
SWE,BNL,1.4067011970772547,1.5148355113746854,1.596267321468999
THA,BNL,3.060955717942853,3.276123963324129,3.7139461778303273
TUR,BNL,2.224022496263208,2.4164090341728945,2.638293156619887
USA,BNL,1.7316465899361089,1.8098015264877532,1.9124144987357896
VNM,BNL,3.4898061016532447,3.96356807753312,4.373438139106707
ZAF,BNL,2.2008371305786336,2.4081242389895445,2.650994647250471
AUS,BRA,1.958079740816641,2.135179244234865,2.3129558539899238
AUT,BRA,2.1902276627353885,2.399386366691264,2.642764375947673
BGR,BRA,4.536967152303344,5.055421981948247,5.515869809593019
BNL,BRA,1.6403064216119265,1.85609103790365,2.042989020489745
CAN,BRA,1.8363825624825614,2.025919995616915,2.1865042917642707
CHL,BRA,2.1689281664842595,2.4060056695323273,2.6246102565268643
CHN,BRA,1.9970005587433057,2.2253160782825643,2.5051714972567853
COL,BRA,3.004503808400053,3.4054561791640365,3.7834644803145894
CYP,BRA,5.229432382865969,5.936558282451536,6.541758540763642
CZE,BRA,3.0227969723977854,3.2943618677436453,3.580790576103402
DEU,BRA,1.7001537535003592,1.8680508326223078,2.0639787936019154
DNK,BRA,2.027787062249764,2.2499069196089643,2.536423737278662
ELL,BRA,3.5613648455296687,3.936923469150395,4.311028028394988
ESP,BRA,2.3039532163758647,2.5185949404134202,2.7665133381235063
FIN,BRA,2.387860825903398,2.6001536402236547,2.8294106223935733
FRA,BRA,1.9881815626320494,2.1888354694939567,2.344408670577838
GBR,BRA,2.2819649625135963,2.4967248977692638,2.6948276601493872
GRC,BRA,3.368634943907294,3.731912736960682,4.088150092153261
HUN,BRA,3.3464649334916534,3.791242897271486,4.2354982826966925
IDN,BRA,3.324234149309709,3.762238879819755,4.2196583883209255
IND,BRA,3.747379486311039,4.332352631824357,4.954118650149916
IRL,BRA,2.5324848389372,2.822049823683837,3.0649650230974554
ISR,BRA,2.198915488572429,2.458850583847484,2.6660967751209492
ITA,BRA,1.9192360992815978,2.1334982401699243,2.3057322672784686
JPN,BRA,1.3967377138106065,1.591003059668163,1.775287261797592
