i_iso3,j_iso3,year,tau,tauAlt
KOR,CHL,2011,1.6478069552150039,1.2467812186038219
MEX,CHL,2011,2.1789184891071236,1.6478770288435873
MYSG,CHL,2011,2.645781479899861,1.7757606979584357
NZL,CHL,2011,2.6805611845731154,1.531999533897448
PER,CHL,2011,2.1391540869236914,1.5827940197121333
PHL,CHL,2011,4.597695156310942,2.692518281628387
RoW,CHL,2011,1.7191039282697738,1.4234544936768987
RUS,CHL,2011,4.059901645621617,2.319047316974829
THA,CHL,2011,3.1350721355409883,2.1990564022263546
TUR,CHL,2011,2.88189486849402,1.8030729594244188
USA,CHL,2011,1.5633290993737985,1.2993914104341144
VNM,CHL,2011,4.1277120500583,2.711370566023254
ZAF,CHL,2011,3.1363215613462203,1.9051880343993322
AUS,CHN,2011,1.1413496405657821,0.7984937350697269
BRA,CHN,2011,1.5079997517426136,1.0159390173081788
CAN,CHN,2011,1.5664649149113627,1.0142701030342094
CHL,CHN,2011,1.933783692170626,1.26432500428603
COL,CHN,2011,3.1623803975528153,1.7737794977796129
EU,CHN,2011,1.3799538805701497,1.031621052513918
IDN,CHN,2011,2.6155580873889517,1.7610637483576994
IND,CHN,2011,3.537889859862821,2.368622777091359
ISR,CHN,2011,2.1329178174845254,1.2193510013154838
JPN,CHN,2011,1.0816587120435046,0.790680075391783
KOR,CHN,2011,1.4625202508472355,1.10085526203232
MEX,CHN,2011,2.658913113653001,1.6547629585141628
MYSG,CHN,2011,1.8405640118784596,1.3774561065281352
NZL,CHN,2011,2.0686921035090675,1.2134954919838485
PER,CHN,2011,2.471768006796102,1.518797333731265
PHL,CHN,2011,3.2210982769269,2.1084642188604983
RoW,CHN,2011,1.5349316259365664,1.237466387518862
RUS,CHN,2011,2.401917810130877,1.6338098901515403
THA,CHN,2011,2.7946624991361757,1.937367702667286
TUR,CHN,2011,2.7054063284034746,1.5469153888782072
USA,CHN,2011,1.7477396491467687,1.2678425120582606
VNM,CHN,2011,3.626357118252527,2.391889661034491
ZAF,CHN,2011,2.106174458155159,1.3533087151189722
AUS,COL,2011,2.1101202843497657,1.1815284710765823
BRA,COL,2011,1.541137070916728,1.1096847249703599
CAN,COL,2011,1.4905305594358451,1.020664301493751
CHL,COL,2011,1.8986844874188744,1.3064538348025052
CHN,COL,2011,1.6827349169301864,1.3193157601643106
EU,COL,2011,1.3499092130154384,1.0480705765613616
IDN,COL,2011,3.177164680198796,1.9822326725735384
IND,COL,2011,3.543966944268425,2.454674711693869
ISR,COL,2011,2.01380888219914,1.2185572508321594
JPN,COL,2011,1.2586804053317744,0.8643517300210896
KOR,COL,2011,1.6832255025179572,1.1933234931384755
MEX,COL,2011,1.7801545989424004,1.401935484055376
MYSG,COL,2011,2.323867615895922,1.5628921082878728
NZL,COL,2011,3.033890718252568,1.5383293885654672
PER,COL,2011,2.293753258207537,1.5963661774109335
PHL,COL,2011,4.77049113733913,2.612382252554953
RoW,COL,2011,1.6685897369732805,1.321005458429371
RUS,COL,2011,2.923510901791397,1.8357568469255445
THA,COL,2011,3.0509939229902217,2.047676911681867
TUR,COL,2011,2.7265033357348933,1.65322925534091
USA,COL,2011,1.459771402864941,1.1869480843629356
VNM,COL,2011,3.7790107119047405,2.4380864988123223
ZAF,COL,2011,3.104423030807975,1.7817886453645682
AUS,EU,2011,1.9570755461792602,1.2565130867343044
BRA,EU,2011,2.058069680447757,1.4094976629359746
CAN,EU,2011,1.9176183489556515,1.3206381113949623
CHL,EU,2011,2.680411796244431,1.7270756020212323
CHN,EU,2011,2.091804775579851,1.6645245398985828
COL,EU,2011,3.2920064126005526,2.076159669227248
IDN,EU,2011,3.4634433351442904,2.3260037067945847
IND,EU,2011,4.203242592725596,3.0241830340371667
ISR,EU,2011,2.220330795052911,1.4350205810333856
JPN,EU,2011,1.4850961798015052,1.0589887301206213
KOR,EU,2011,2.1287151618155686,1.5164032438322181
MEX,EU,2011,3.1301476675511766,2.1035878218466895
MYSG,EU,2011,2.5047045434583977,1.8403241509505035
NZL,EU,2011,2.6712813955063353,1.5705586244174294
PER,EU,2011,3.400618952344792,2.117897058211554
PHL,EU,2011,4.525662672416694,2.8530496690936342
RoW,EU,2011,1.868098480980789,1.5753287951044312
RUS,EU,2011,2.446224792056527,1.892828447419204
THA,EU,2011,3.722442102794472,2.5568868631094523
TUR,EU,2011,2.509056052643653,1.7849702751692416
USA,EU,2011,2.0639173411807947,1.5966659662791052
VNM,EU,2011,4.2569513755785175,2.935408960219792
ZAF,EU,2011,2.7332116619172617,1.852686743462685
AUS,IDN,2011,1.0582272809744522,0.7386569822190479
BRA,IDN,2011,1.4452136136042213,0.9396647439106277
CAN,IDN,2011,1.2628078240791207,0.8341602378572566
CHL,IDN,2011,1.939858206076227,1.1551013645031833
CHN,IDN,2011,1.416917536518711,1.109655893119092
COL,IDN,2011,3.3220869421474792,1.6929184239128687
EU,IDN,2011,1.203668029916949,0.8878330344033135
IND,IDN,2011,2.6818192487273755,1.9383465173444268
ISR,IDN,2011,2.725454630053893,1.307968769393329
JPN,IDN,2011,0.8761706561971876,0.6540352788788331
KOR,IDN,2011,1.1808218426257842,0.9003067421934441
MEX,IDN,2011,2.506663154061836,1.5084749230773893
MYSG,IDN,2011,1.1923460378084791,1.0058291926064897
NZL,IDN,2011,1.5963096269827388,0.9792419920234525
PER,IDN,2011,2.936246059000223,1.5746999216440505
PHL,IDN,2011,2.850992863892125,1.8298743184873159
RoW,IDN,2011,1.3177676183956406,1.0493335805608572
RUS,IDN,2011,2.320835597449559,1.4787784201079532
THA,IDN,2011,1.933979096333949,1.4743747035411978
TUR,IDN,2011,2.125652620122334,1.300863621629533
USA,IDN,2011,1.4221592376007717,1.0458650572070436
VNM,IDN,2011,2.571512642871871,1.8197986850232968
ZAF,IDN,2011,2.0104485562020935,1.2645397443816297
AUS,IND,2011,0.7986804089334,0.551019072339776
BRA,IND,2011,1.1787807059692859,0.7341113164011345
CAN,IND,2011,1.040557651616143,0.6503147262001975
CHL,IND,2011,1.2199703430577773,0.7540257655148466
CHN,IND,2011,1.1201171516181683,0.8452452418332309
COL,IND,2011,1.846508321452521,1.062590376733054
EU,IND,2011,0.8506681196520445,0.6419162485234449
IDN,IND,2011,1.4485968025934395,1.029958371224366
ISR,IND,2011,1.1491027962491298,0.7091061477975363
JPN,IND,2011,0.8063778810303531,0.5387407526708993
KOR,IND,2011,1.0307851569432607,0.725433891623668
MEX,IND,2011,1.6446290107957473,1.0315528447075346
MYSG,IND,2011,1.1430445780845324,0.8506194080702798
NZL,IND,2011,1.3300319561304927,0.7646946914378631
PER,IND,2011,1.9201441767123602,1.0838097785780136
PHL,IND,2011,2.668065302965672,1.5194758573787734
RoW,IND,2011,0.8726559727351547,0.7350837406175306
RUS,IND,2011,1.6235127219436394,1.067338013872319
THA,IND,2011,1.8516665092969873,1.244736731280423
TUR,IND,2011,1.7383442624193184,1.0193449153899306
USA,IND,2011,1.132777513988232,0.8006763880560828
VNM,IND,2011,2.430340572237192,1.549917581069604
ZAF,IND,2011,1.2735298881556887,0.877865256161059
AUS,ISR,2011,2.2311919329612593,1.4285950365346944
BRA,ISR,2011,2.6243144262076332,1.725437525276713
CAN,ISR,2011,2.25656697846566,1.524862210162537
CHL,ISR,2011,3.4988913859049995,2.110132912129393
CHN,ISR,2011,2.3994404335686137,1.9119230610692426
COL,ISR,2011,3.0256695320554257,2.112223442459977
EU,ISR,2011,1.522562810726786,1.3307559109511728
IDN,ISR,2011,4.598636889154323,2.908952136491362
IND,ISR,2011,4.7215761802879035,3.4608939389236157
JPN,ISR,2011,1.5842673196274262,1.1730825346701108
KOR,ISR,2011,2.1460859829689904,1.6305002852125334
MEX,ISR,2011,3.8135782992971765,2.4830759348453975
MYSG,ISR,2011,2.8929681889593355,2.1256937596427736
NZL,ISR,2011,3.8838710863603745,2.0794557810686443
