Name,ccode,pppReal,expReal,gdpUSDT,expShareT
Beef and veal,KOR,3.197019766710996,3380894373.5462923,346737064565.3099,0.009750599860977602
Beef and veal,MEX,0.7075930692507669,5047357384.913833,476386003517.584,0.010595100081960171
Beef and veal,MYSG,0.9965432644969743,738939332.6309544,148201628667.646,0.004986040566990562
Beef and veal,NZL,1.3084365601171468,535556921.50376743,54312692779.97695,0.009860621782707985
Beef and veal,PER,0.6665583395069242,859920119.0951673,70766324607.54346,0.012151544168276653
Beef and veal,PHL,0.6219985715548689,943296997.2227739,116862082387.78627,0.008071882495578067
Beef and veal,RoW,1.1407591980333527,85738940895.04475,3953264466259.4966,0.021688136887074824
Beef and veal,RUS,1.187459717617211,12643418614.045252,793246609212.229,0.015938824657065215
Beef and veal,THA,0.5614146429493924,354073547.1108512,188991157433.48123,0.0018734926645204216
Beef and veal,TUR,1.5271653022963727,6232448947.978052,426950403300.6212,0.014597594708417936
Beef and veal,USA,1,40080711379.7355,4714580039654.105,0.008501438313194084
Beef and veal,VNM,0.7268918391226076,900459752.5517229,59056391694.1914,0.015247456316236288
Beef and veal,ZAF,0.8782697047423547,2013088682.5829055,165367298474.65317,0.012173438770250357
Beer,AUS,1.9276195092691002,7444851688.28996,410366207611.79,0.018141970635488718
Beer,BRA,0.8586590782181633,11109312209.017138,987101604734.631,0.011254476900585859
Beer,CAN,1.5088352618360414,8898808806.846434,504068428113.4744,0.017653969799598636
Beer,CHL,0.8376724612243811,997902706.9438188,97256116028.83278,0.01026056506973791
Beer,CHN,0.5721696765213814,5442800765.628102,2548185298532.511,0.002135951717782293
Beer,COL,0.8715557984896419,2855304457.0894003,124398941565.95387,0.022952803465579118
Beer,EU,0.8451945162873005,46950267024.28366,5859159613535.026,0.00801314012948642
Beer,IDN,1.1166295218481062,32772611.007437877,347358927915.7229,9.434797373450338e-5
Beer,IND,0.7407950584724333,532740717.1831969,863763756060.2175,6.167666951124733e-4
Beer,ISR,1.4255200944048652,464699146.9515697,80940492070.38477,0.005741244401473042
Beer,JPN,1.8737127630504464,16877216284.28584,2021638224400.7524,0.008348287087462708
Beer,KOR,0.8498613053729593,1868234523.5976415,346737064565.3099,0.005388043894124128
Beer,MEX,0.6199959550557832,10004559255.592316,476386003517.584,0.021000951291011292
Beer,MYSG,1.2967043276689005,1056117187.6985798,148201628667.646,0.007126218498360818
Beer,NZL,1.531735184167208,773764754.6879584,54312692779.97695,0.014246481164587302
Beer,PER,0.6512747015781599,1666730692.422207,70766324607.54346,0.023552596544551066
